start
,3957
7,926,23502,-20142,78645
-271,-857,622,-7875,74200,-61687
-259,-881,626,-8785,70997,-57592
-259,-881,626,-8785,70997,-57592
-267,-867,598,-10832,57907,-55370
-267,-852,581,-10657,39672,-57015
-239,-830,573,-7175,27510,-58817
-239,-830,573,-7175,27510,-58817
-224,-819,551,-1505,27405,-55930
-210,-822,540,6195,37415,-49700
-170,-854,574,12442,46970,-41440
-170,-854,574,12442,46970,-41440
-139,-876,616,12057,46252,-33022
-116,-899,635,7735,38342,-28770
-82,-901,624,6492,31867,-29277
-82,-901,624,6492,31867,-29277
-78,-888,606,11987,36155,-32602
-76,-884,610,21175,46812,-35367
-73,-897,636,25795,55335,-33722
-73,-897,636,25795,55335,-33722
-37,-922,683,24832,58660,-27370
-12,-915,731,19390,59272,-17727
-12,-902,743,14017,53007,-10150
-12,-902,743,14017,53007,-10150
-4,-886,749,14385,40285,-7577
-16,-908,742,19267,24885,-7945
-58,-983,728,26565,8890,-11987
-58,-983,728,26565,8890,-11987
-69,-1015,715,32060,-2030,-19162
-36,-1026,704,31815,-3972,-20597
-20,-1006,694,27650,-122,-13230
-20,-1006,694,27650,-122,-13230
22,-884,692,22505,7630,-4987
62,-768,700,18235,17027,2660
87,-680,708,16520,24395,10815
87,-680,708,16520,24395,10815
92,-641,718,17482,20387,18847
88,-650,696,21630,1820,24885
65,-674,638,28350,-25007,26372
65,-674,638,28350,-25007,26372
25,-716,578,34562,-48457,22155
-30,-786,560,37187,-63070,15067
-82,-890,571,36225,-71365,6020
-82,-890,571,36225,-71365,6020
-102,-966,578,31885,-75635,-2922
-92,-1006,572,26722,-76912,-7927
-72,-1026,573,23397,-71505,-9625
-72,-1026,573,23397,-71505,-9625
-54,-1011,580,19582,-56472,-12180
-35,-968,588,17990,-30030,-16502
-24,-965,665,23345,-11952,-18427
-24,-965,665,26057,-27142,-16187
-16,-1028,782,26057,-27142,-16187
3,-1075,682,19862,-80342,-12512
26,-1038,493,25235,-127820,-14367
28,-964,397,43575,-133770,-24657
28,-964,397,43575,-133770,-24657
-12,-909,365,56997,-110495,-36750
-24,-856,360,60987,-82215,-46287
5,-835,364,59010,-64505,-48195
5,-835,364,59010,-64505,-48195
33,-799,335,55072,-62090,-40582
30,-764,294,53042,-65030,-30415
36,-724,265,52972,-61110,-24342
36,-724,265,52972,-61110,-24342
59,-684,277,52447,-46130,-21192
80,-665,324,49087,-23362,-17657
110,-687,404,41562,1155,-12145
110,-687,404,41562,1155,-12145
182,-696,481,28472,22242,-3150
193,-679,532,12565,44187,8925
143,-664,571,4567,72170,14332
