start
95,9870,-10920
5,1730,-6317,96302,8277
248,-913,493,-51835,-29592,27667
248,-913,493,-51835,-29592,27667
235,-940,457,-29487,-37992,20492
223,-981,413,-8662,-47705,16992
223,-1036,337,5880,-57697,18270
223,-1036,337,5880,-57697,18270
221,-1063,233,15977,-62230,21140
195,-1072,144,26967,-57522,21630
149,-1071,119,37345,-44905,17885
149,-1071,119,37345,-44905,17885
101,-1060,136,42140,-31115,11217
88,-1038,151,40442,-23170,3850
94,-1016,148,34930,-20335,-17
94,-1016,148,34930,-20335,-17
100,-992,147,28822,-17850,1242
103,-980,156,23100,-13335,4812
117,-966,181,16205,-8942,8785
117,-966,181,8155,-5582,12057
125,-950,199,8155,-5582,12057
121,-938,238,2292,-2187,13335
109,-938,275,-1050,-1680,12530
109,-938,275,-2730,-3920,11690
106,-946,311,-2730,-3920,11690
103,-962,331,-4007,-7455,12495
105,-979,338,-5495,-10972,14105
105,-979,338,-6177,-14332,15190
106,-996,317,-6177,-14332,15190
98,-996,306,-4235,-15557,13877
83,-996,306,-2940,-15102,9800
83,-996,306,-3237,-15732,6090
75,-1000,298,-3237,-15732,6090
74,-1002,289,-3885,-17517,4935
71,-1001,274,-4882,-19040,5740
71,-1001,274,-5512,-19442,6352
65,-1000,262,-5512,-19442,6352
59,-997,251,-6002,-19145,5390
57,-992,237,-5810,-18602,3552
57,-992,237,-4375,-17237,1802
57,-989,239,-4375,-17237,1802
64,-981,236,-3272,-16345,980
72,-984,230,-2957,-15732,1767
72,-984,230,-2940,-13895,2852
73,-989,231,-2940,-13895,2852
78,-990,235,-3535,-10430,3920
75,-994,244,-3587,-8120,5075
75,-994,244,-3587,-8120,5075
77,-993,246,-2187,-8155,5022
80,-1003,251,52,-7472,4095
79,-1011,251,1680,-6230,3045
79,-1011,251,1680,-6230,3045
81,-1009,258,3325,-4270,2152
82,-1004,264,4585,-2695,1767
78,-1000,263,4567,-2940,1382
78,-1000,263,4567,-2940,1382
77,-1000,261,3955,-3220,-262
86,-998,263,3797,-2205,-1260
80,-992,260,3587,-1977,-1365
80,-992,260,3587,-1977,-1365
77,-984,259,3272,-2170,-2905
69,-979,260,2415,-2887,-4375
64,-980,264,1190,-3867,-4655
64,-980,264,1190,-3867,-4655
74,-982,265,-175,-4760,-2800
75,-984,258,-1575,-5617,717
74,-982,257,-2135,-5442,2187
74,-982,257,-2135,-5442,2187
79,-982,256,-1925,-4690,1872
81,-983,254,-1260,-4287,1750
80,-983,259,-1050,-4007,1400
80,-983,259,-1050,-4007,1400
82,-985,262,-1785,-4672,1207
89,-986,264,-2590,-5600,2117
89,-988,262,-3237,-5932,3482
89,-988,262,-3237,-5932,3482
86,-988,263,-3010,-5687,3307
90,-994,267,-2415,-5635,2082
91,-997,264,-2187,-6370,962
91,-997,264,-2187,-6370,962
86,-1001,264,-1802,-6807,-437
86,-1001,264,-1295,-6842,-2082
95,-997,260,-87,-6020,-2677
95,-997,260,-87,-6020,-2677
95,-990,259,1750,-4042,-2222
90,-982,265,3465,-2310,-1960
90,-982,269,3972,-2415,-2152
90,-982,269,3972,-2415,-2152
90,-982,266,2835,-5022,-2030
85,-981,260,1365,-7280,-2240
85,-981,260,717,-7472,-2520
87,-969,262,717,-7472,-2520
73,-970,272,175,-7717,-1855
66,-977,271,-717,-9695,-1120
66,-977,271,-717,-9695,-1120
61,-981,260,-700,-12092,-52
64,-990,251,472,-12285,1102
75,-1000,239,1452,-10867,2607
75,-1000,239,1452,-10867,2607
81,-1002,233,1977,-8225,4235
82,-999,235,2170,-5775,4497
85,-995,235,1732,-5022,3185
85,-995,235,1732,-5022,3185
85,-994,236,1085,-4077,1382
78,-994,245,367,-2380,-455
74,-996,256,-542,-1610,-2100
74,-996,256,-542,-1610,-2100
81,-999,260,-1295,-2345,-2677
84,-995,262,-1487,-2467,-1907
84,-991,271,-1120,-1872,-1417
84,-991,271,-1120,-1872,-1417
89,-979,274,-910,-2695,-1120
81,-970,271,-157,-4392,-1085
78,-965,272,997,-5005,-1802
78,-965,272,997,-5005,-1802
81,-965,273,1855,-5110,-805
80,-969,271,1872,-6142,2082
86,-976,271,1330,-7560,4795
86,-976,271,1330,-7560,4795
97,-980,262,490,-8697,7315
95,-989,261,630,-8890,8382
90,-1000,267,717,-8837,7245
90,-1000,267,717,-8837,7245
84,-1007,261,315,-9870,5197
83,-1009,254,1050,-9870,3045
82,-1005,253,2345,-8312,1557
82,-1005,253,2345,-8312,1557
77,-998,255,3675,-6317,367
72,-990,260,4812,-5267,-910
71,-985,260,5092,-5897,-1662
71,-985,260,5092,-5897,-1662
68,-984,254,4445,-7210,-1627
62,-985,252,3307,-7280,-1540
62,-985,252,2362,-6755,-1417
59,-980,253,2362,-6755,-1417
54,-977,256,2117,-6212,-752
53,-975,260,2397,-5652,280
53,-975,260,2397,-5652,280
53,-979,261,2887,-5512,1715
65,-986,261,2730,-5757,3640
